event_time,event_type,wallet_value,cash,locked_stake
2026-03-31 04:56:49+00:00,resolution,1016.8789316446815,702.9682522140852,313.91067943059636
2026-03-31 04:58:45+00:00,resolution,1028.8070610638447,725.6884987267769,303.11856233706783
2026-03-31 05:02:01+00:00,resolution,1013.1463197175965,725.6884987267769,287.4578209908196
2026-03-31 05:05:43+00:00,resolution,1027.3052377226684,751.6681647911289,275.6370729315394
2026-03-31 05:23:37+00:00,resolution,1030.9215944879454,794.2135385002703,236.70805598767515
2026-03-31 20:26:49+00:00,resolution,1040.8117043780553,904.1036483903802,136.70805598767515
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,873.6214719888158,167.19023238923958
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,862.8505447648598,177.96115961319552
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,840.3192720266794,200.4924323513759
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,832.986050591557,207.82565378649824
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,807.7489774920891,233.06272688596616
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,787.1190779807594,253.69262639729587
2026-03-31 21:00:00+00:00,entry,1040.8117043780553,753.1795658814749,287.6321384965803
2026-03-31 21:00:00+00:00,entry,1040.811704378055,705.6302243689436,335.18148000911157
2026-03-31 21:00:00+00:00,entry,1040.811704378055,684.5518389331048,356.2598654449503
2026-03-31 21:00:00+00:00,entry,1040.811704378055,672.2486659985018,368.5630383795533
2026-03-31 21:00:00+00:00,entry,1040.811704378055,659.9454930638988,380.86621131415626
2026-03-31 21:00:00+00:00,entry,1040.811704378055,623.684178305279,417.12752607277605
2026-03-31 21:00:00+00:00,entry,1040.811704378055,519.6030078674735,521.2086965105816
2026-03-31 21:00:00+00:00,entry,1040.811704378055,487.6482625576209,553.1634418204342
2026-03-31 21:00:00+00:00,entry,1040.811704378055,461.7000483210489,579.1116560570061
2026-03-31 21:00:00+00:00,entry,1040.8117043780549,357.6188778832434,683.1928264948116
2026-03-31 21:00:00+00:00,entry,1040.811704378055,253.5377074454379,787.2739969326171
2026-03-31 21:00:00+00:00,entry,1040.811704378055,229.14084891653437,811.6708554615207
2026-03-31 21:00:00+00:00,entry,1040.8117043780549,219.13304406674536,821.6786603113096
2026-03-31 21:00:00+00:00,entry,1040.811704378055,188.65086766518093,852.1608367128741
2026-03-31 21:00:00+00:00,entry,1040.811704378055,177.3206118850775,863.4910924929775
2026-03-31 21:00:00+00:00,entry,1040.811704378055,154.78933914689713,886.0223652311579
2026-03-31 21:00:00+00:00,entry,1040.811704378055,104.08957415907724,936.7221302189778
2026-03-31 21:00:00+00:00,entry,1040.811704378055,91.69895863076705,949.1127457472879
2026-03-31 21:00:00+00:00,entry,1040.811704378055,81.69115378097807,959.120550597077
2026-03-31 21:00:00+00:00,entry,1040.8117043780549,45.95590030077915,994.8558040772758
2026-03-31 21:00:00+00:00,entry,1040.811704378055,0.0,1040.811704378055
2026-03-31 23:57:41+00:00,resolution,1010.3295279764906,0.0,1010.3295279764906
2026-04-01 00:48:07+00:00,resolution,1017.2813996342445,106.951871657754,910.3295279764906
2026-04-01 00:50:05+00:00,resolution,980.5733436465694,106.951871657754,873.6214719888154
2026-04-01 04:25:57+00:00,resolution,969.8024164226135,106.951871657754,862.8505447648595
2026-04-01 04:43:23+00:00,resolution,947.2711436844331,106.951871657754,840.3192720266791
2026-04-01 06:11:11+00:00,resolution,939.9379222493108,106.951871657754,832.9860505915568
2026-04-01 06:20:15+00:00,resolution,974.0821976191792,166.33322012709027,807.7489774920889
2026-04-01 06:20:21+00:00,resolution,953.4522981078494,166.33322012709027,787.1190779807591
2026-04-01 06:51:33+00:00,resolution,919.5127860085651,166.33322012709027,753.1795658814748
2026-04-01 07:45:13+00:00,resolution,1013.9017773692615,308.27155300031797,705.6302243689435
2026-04-01 08:51:19+00:00,resolution,1041.2794504066153,356.72761147351054,684.5518389331047
2026-04-01 08:51:21+00:00,resolution,1056.0162179876231,383.7675519891215,672.2486659985017
2026-04-01 08:52:19+00:00,resolution,1043.7130450530203,383.7675519891215,659.9454930638988
2026-04-01 11:17:45+00:00,resolution,1007.4517302944005,383.7675519891215,623.6841783052789
2026-04-01 12:25:53+00:00,resolution,987.7076250917764,500.0593625341556,487.6482625576209
2026-04-01 13:20:13+00:00,resolution,1069.8769701742544,608.1769218532056,461.7000483210489
2026-04-01 14:03:09+00:00,resolution,1091.1948002639256,733.5759223806822,357.6188778832434
2026-04-01 14:49:49+00:00,resolution,987.1136298261201,733.5759223806822,253.5377074454379
2026-04-01 14:49:51+00:00,resolution,1062.2957857009044,833.15493678437,229.14084891653437
2026-04-01 17:45:31+00:00,resolution,1073.1375742881758,854.0045302214304,219.13304406674536
2026-04-01 20:25:23+00:00,resolution,1042.6553978866114,854.0045302214304,188.65086766518095
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,810.6611666455511,231.99423124106022
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,791.6842655164336,250.97113237017783
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,687.4187257277724,355.236672158839
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,654.8515845930059,387.8038132936055
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,615.7392253555137,426.9161725310977
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,585.4251898390154,457.230208047596
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,568.2689704470382,474.3864274395732
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,464.00343065837706,578.6519672282343
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,451.59086639782214,591.0645314887893
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,439.57297826637864,603.0824196202327
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,423.1542766598873,619.5011212267241
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,406.3864266938745,636.2689711927368
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,370.11039599265456,672.5450018939569
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,357.69783173209964,684.9575661545117
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,253.43229194343849,789.2231059431729
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,149.16675215477733,893.488645731834
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,123.8849741123762,918.7704237742352
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,84.01873831082929,958.636659575782
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,55.28515529937178,987.3702425872395
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,43.26726716792831,999.388130718683
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,21.45623370598869,1021.1991641806227
2026-04-01 21:00:00+00:00,entry,1042.6553978866114,0.0,1042.6553978866114
2026-04-01 21:27:37+00:00,resolution,1031.3251421065079,0.0,1031.3251421065079
2026-04-01 21:27:39+00:00,resolution,1008.7938693683275,0.0,1008.7938693683275
2026-04-01 21:36:29+00:00,resolution,1114.0933812661074,155.99927688559967,958.0941043805076
2026-04-01 22:32:19+00:00,resolution,1127.788272113187,182.08478326098955,945.7034888521974
2026-04-01 23:07:25+00:00,resolution,1117.7804672633981,182.08478326098955,935.6956840024085
2026-04-01 23:20:13+00:00,resolution,1082.0452137831992,182.08478326098955,899.9604305222095
2026-04-02 00:52:19+00:00,resolution,1157.4507915110987,300.83372456476843,856.6170669463303
2026-04-02 03:33:49+00:00,resolution,1162.2748915426723,351.6137248971211,810.6611666455511
2026-04-02 04:20:35+00:00,resolution,1143.2979904135545,351.6137248971211,791.6842655164335
