market_id,entry_time,end_time,closed_time,resolution_time,side,stake,settle_value,pnl,market_price,model_prob,edge,kelly_raw,bet_fraction,sizing_method,cash_before_entry,wallet_before_entry,outcome_yes,cash_after_resolution,roi_on_stake
1742618,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 06:49:47+00:00,2026-04-03 06:49:47+00:00,NO,52.26719914378123,0.0,-52.26719914378123,0.805,0.6842105263157895,-0.12078947368421056,0.1500490356325597,0.037512258908139924,fractional_kelly,1183.713670562656,1393.3364895932614,1,106.76606893011024,-1.0
1515681,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 06:55:55+00:00,2026-04-03 06:55:55+00:00,NO,21.940879130763193,0.0,-21.940879130763193,0.565,0.5294117647058824,-0.03558823529411759,0.06298802706923468,0.01574700676730867,fractional_kelly,1131.4464714188748,1393.3364895932614,1,106.76606893011024,-1.0
1742619,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:01:01+00:00,2026-04-03 07:01:01+00:00,YES,24.619359592348548,0.0,-24.619359592348548,0.295,0.3448275862068966,0.04982758620689659,0.07067742724382495,0.017669356810956237,fractional_kelly,1109.5055922881115,1393.3364895932614,0,106.76606893011024,-1.0
1824097,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:01:03+00:00,2026-04-03 07:01:03+00:00,NO,16.587339161824552,34.9207140248938,18.333374863069245,0.525,0.5,-0.025000000000000022,0.04761904761904766,0.011904761904761915,fractional_kelly,1084.886232695763,1393.3364895932614,0,141.68678295500405,1.1052631578947372
1515691,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:09:15+00:00,2026-04-03 07:09:15+00:00,YES,16.47027960528379,0.0,-16.47027960528379,0.455,0.4807692307692308,0.025769230769230766,0.04728299223712068,0.01182074805928017,fractional_kelly,1068.2988935339386,1393.3364895932614,0,141.68678295500405,-1.0
1821883,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:32:51+00:00,2026-04-03 07:32:51+00:00,YES,50.20495225254732,137.54781439054062,87.34286213799331,0.365,0.45652173913043476,0.09152173913043476,0.14412872304005475,0.03603218076001369,fractional_kelly,1051.8286139286547,1393.3364895932614,1,279.23459734554467,1.7397260273972608
1825112,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:32:53+00:00,2026-04-03 07:32:53+00:00,YES,42.99214974902067,113.13723618163334,70.14508643261267,0.38,0.45652173913043476,0.07652173913043475,0.12342215988779799,0.030855539971949498,fractional_kelly,1001.6236616761074,1393.3364895932614,1,392.371833527178,1.631578947368421
1829538,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:32:59+00:00,2026-04-03 07:32:59+00:00,NO,13.397466246089062,27.911388012685546,14.513921766596484,0.52,0.5,-0.020000000000000018,0.03846153846153849,0.009615384615384623,fractional_kelly,958.6315119270868,1393.3364895932614,0,420.2832215398636,1.0833333333333333
1515686,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 07:47:21+00:00,2026-04-03 07:47:21+00:00,YES,15.167833671006443,0.0,-15.167833671006443,0.315,0.3448275862068966,0.029827586206896572,0.043543921469922,0.0108859803674805,fractional_kelly,945.2340456809977,1393.3364895932614,0,420.2832215398636,-1.0
1730778,2026-04-02 21:00:00+00:00,2026-04-02 23:00:00+00:00,2026-04-03 09:59:39+00:00,2026-04-03 09:59:39+00:00,YES,18.727640989156736,0.0,-18.727640989156736,0.225,0.26666666666666666,0.04166666666666666,0.05376344086021504,0.01344086021505376,fractional_kelly,930.0662120099913,1393.3364895932616,0,420.2832215398636,-1.0
