category,horizon_min,prob_bin,n,predicted_mean,observed_yes_rate,volume_mean
Politics,120,"[0.2,0.3)",5,0.231,0.2,379243.81139620015
Politics,120,"[0.3,0.4)",2,0.34750000000000003,0.5,2778450.2141134986
Politics,120,"[0.4,0.5)",1,0.4,1.0,134424.53242699997
Politics,120,"[0.5,0.6)",2,0.533,0.5,3452683.0803314988
Politics,120,"[0.6,0.7)",3,0.642,0.6666666666666666,4924132.561851337
Politics,120,"[0.7,0.8)",1,0.741,1.0,463580.8147129996
Politics,120,"[0.8,0.9)",2,0.84175,1.0,298676.135565
Politics,120,"[0.9,1.0]",13,0.9876538461538462,1.0,2143929.2556246226
Science,120,"[0.0,0.1)",1,0.0035,0.0,182372.520717
Science,120,"[0.1,0.2)",1,0.1255,0.0,220988.61608399983
Sports,120,"[0.0,0.1)",187,0.011013368983957219,0.0,447953.5368596311
Sports,120,"[0.1,0.2)",60,0.15314166666666665,0.26666666666666666,889245.3008214297
Sports,120,"[0.2,0.3)",107,0.2559626168224299,0.29906542056074764,778281.1148499626
Sports,120,"[0.3,0.4)",141,0.3502163120567376,0.40425531914893614,774120.1587479853
Sports,120,"[0.4,0.5)",339,0.46145722713864307,0.5191740412979351,724537.0473331179
Sports,120,"[0.5,0.6)",332,0.5325,0.5180722891566265,570208.0027741652
Sports,120,"[0.6,0.7)",114,0.6437719298245614,0.5701754385964912,605340.5419041313
Sports,120,"[0.7,0.8)",77,0.7444155844155844,0.6753246753246753,784245.6797965192
Sports,120,"[0.8,0.9)",54,0.841574074074074,0.8333333333333334,730109.5764657601
Sports,120,"[0.9,1.0]",154,0.9929642857142859,1.0,389898.8261322403
Technology,120,"[0.0,0.1)",61,0.011836065573770491,0.06557377049180328,392151.0618526895
Technology,120,"[0.1,0.2)",8,0.1540625,0.125,147854.12119675003
Technology,120,"[0.2,0.3)",10,0.242,0.5,229147.63436869998
Technology,120,"[0.3,0.4)",9,0.32944444444444443,0.4444444444444444,135045.66465955556
Technology,120,"[0.4,0.5)",1,0.475,0.0,107163.36625000002
Technology,120,"[0.5,0.6)",3,0.5583333333333333,0.6666666666666666,123065.36764533333
Technology,120,"[0.7,0.8)",1,0.745,1.0,177944.47075699986
Technology,120,"[0.8,0.9)",2,0.875,1.0,112722.75828399995
Technology,120,"[0.9,1.0]",4,0.979125,1.0,621564.4743074997
Uncategorized,120,"[0.0,0.1)",99,0.009560606060606061,0.010101010101010102,242767.83850386878
Uncategorized,120,"[0.1,0.2)",10,0.15105,0.2,218109.91565890005
Uncategorized,120,"[0.2,0.3)",22,0.24734090909090908,0.36363636363636365,137943.41858645456
Uncategorized,120,"[0.3,0.4)",19,0.3592105263157895,0.21052631578947367,224862.95294826312
Uncategorized,120,"[0.4,0.5)",39,0.4674358974358975,0.38461538461538464,163872.96286682045
Uncategorized,120,"[0.5,0.6)",675,0.5056666666666666,0.4888888888888889,132932.09852217467
Uncategorized,120,"[0.6,0.7)",15,0.6523,0.4666666666666667,388992.1425984012
Uncategorized,120,"[0.7,0.8)",9,0.7344444444444443,0.4444444444444444,173055.49810444456
Uncategorized,120,"[0.8,0.9)",4,0.8305,0.5,110851.73845850003
Uncategorized,120,"[0.9,1.0]",33,0.9905757575757576,1.0,207196.08071012117
World,120,"[0.0,0.1)",20,0.006825,0.0,7704858.76491458
World,120,"[0.1,0.2)",3,0.11983333333333335,0.3333333333333333,697156.4776143356
World,120,"[0.4,0.5)",3,0.4466666666666667,0.6666666666666666,265063.85392100026
World,120,"[0.5,0.6)",1,0.52,0.0,178312.6496809999
