horizon_min,volume_bucket,n,mean_abs_isotonic_gap,median_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max
480,Decile 10 (highest),496,0.02319320423628312,0.010285714285714287,-0.008720972072173473,0.49193548387096775,728990.9041820004,172972056.63332495
540,Decile 1 (lowest),477,0.011537536934378104,0.005199441563621843,-0.0028407526570376593,0.8029350104821803,88436.76449999989,97901.84662799984
540,Decile 2,476,0.009608798469496716,0.005199441563621843,-0.001384597428825882,0.8235294117647058,97951.1842529999,107553.58208099988
540,Decile 3,477,0.00834972144826629,0.005199441563621843,0.000238482557232361,0.8427672955974843,107561.67896599988,119011.94992199968
540,Decile 4,476,0.008580331148710285,0.005199441563621843,0.0010633088181266947,0.865546218487395,119019.94076400014,133435.67547899994
540,Decile 5,477,0.009486883518073143,0.005199441563621843,0.0004277580837569377,0.8427672955974843,133474.2413429998,152639.3325530003
540,Decile 6,476,0.008575060046452723,0.005199441563621843,-8.732394428013452e-05,0.8172268907563025,152770.93363999974,181389.9627229999
540,Decile 7,476,0.011064910939683925,0.005199441563621843,-0.002233216754268181,0.7310924369747899,181446.8560759996,232818.16084500027
540,Decile 8,477,0.01580463459314037,0.005199441563621843,-0.004265017432831274,0.59958071278826,232825.137071,386848.8922920003
540,Decile 9,476,0.02234186915447072,0.008787467700258428,-0.0040669838841563485,0.5,387230.5966719997,757753.7393700011
540,Decile 10 (highest),477,0.024542873432749083,0.012686046511627906,-0.010307021745962739,0.49056603773584906,758169.9312949987,172972056.63332495
600,Decile 1 (lowest),458,0.01072815852034222,0.0011555857078244802,-0.005701321785595338,0.6353711790393013,88436.76449999989,97819.92214999984
600,Decile 2,457,0.009587173187079424,0.0011555857078244802,-0.004536521681163234,0.6411378555798687,97827.72095399996,107506.71760099976
600,Decile 3,457,0.007744845125788998,0.0011555857078244802,-0.0029006478562814972,0.6652078774617067,107552.94388200004,119144.92526099984
600,Decile 4,458,0.00741902953617547,0.0011555857078244802,-0.0014042367061352392,0.7510917030567685,119189.6457569999,134506.64061399992
600,Decile 5,457,0.0066336810918016294,0.0011555857078244802,-0.0007240016701323453,0.7614879649890591,134536.9539350002,153986.34548600003
600,Decile 6,457,0.0074536609497830334,0.0011555857078244802,-0.0018388349167547545,0.7199124726477024,153993.656454,184741.3646479996
600,Decile 7,458,0.010116831911586306,0.0011555857078244802,-0.0038274698250192933,0.6441048034934498,184834.75263000003,240065.83791799948
600,Decile 8,457,0.01488816867267713,0.003235294117647114,-0.004109760627864515,0.5601750547045952,240456.3681529996,402653.2628330002
600,Decile 9,457,0.022137007233662208,0.008844414292175529,-0.004946235449173569,0.5010940919037199,403416.80333800014,788007.4828729996
600,Decile 10 (highest),458,0.02241997914280476,0.0094392523364486,-0.007515458569656263,0.5218340611353712,788232.8774610005,172972056.63332495
660,Decile 1 (lowest),441,0.012693741540366557,0.0052373042240151935,-0.0037634827782664537,0.8095238095238095,88436.76449999989,97951.1842529999
660,Decile 2,440,0.010557404047817649,0.0052373042240151935,-0.0008655483135922303,0.8318181818181818,97954.11940599995,108016.05593499972
660,Decile 3,440,0.010420637650481237,0.0052373042240151935,-0.0006933063301981753,0.8181818181818182,108023.4889210001,120269.91764799992
660,Decile 4,440,0.009507099936072577,0.0052373042240151935,0.0015979710885679044,0.8704545454545455,120305.69362400024,135993.72559699992
660,Decile 5,441,0.008884252957812741,0.0052373042240151935,0.001608355465408749,0.8435374149659864,136005.93767299983,156400.72896699962
660,Decile 6,440,0.009531996795318793,0.0052373042240151935,-0.00031688291625391773,0.8,156449.66564000002,188300.16786500005
660,Decile 7,440,0.011922103541412125,0.0052373042240151935,-0.002559349176878132,0.7,188336.119941,248119.52099799996
660,Decile 8,440,0.016985590452754232,0.0052373042240151935,-0.0037674716779238253,0.6295454545454545,248884.878183,417092.7476779996
660,Decile 9,440,0.021340529014991973,0.00897959183673469,-0.005006846160517401,0.5181818181818182,417746.51305999927,806600.3579200017
660,Decile 10 (highest),441,0.024060291466478905,0.012109756097560972,-0.008843669208253017,0.528344671201814,806990.4095559991,172972056.63332495
720,Decile 1 (lowest),424,0.013775993290677987,0.0073696682464455265,-0.0030564506177212193,0.8018867924528302,88436.76449999989,98283.85311900004
720,Decile 2,424,0.012033712557256247,0.0073696682464455265,-0.0006926011772369463,0.8066037735849056,98318.60673100014,108665.15323099974
720,Decile 3,424,0.011009547395452677,0.0073696682464455265,0.0013096452317463932,0.8018867924528302,108691.2923019999,121512.1480029997
