horizon_min,volume_bucket,n_rows,n_price_available,n_staleness_available,mean_staleness_min,median_staleness_min,p90_staleness_min,decile_volume_min,decile_volume_max
60,Decile 6,3000,561,561,695.4235888294711,9.366666666666667,39.05,170884.843911,207390.394031
60,Decile 7,3000,397,397,962.5089840470192,9.366666666666667,7029.436666666676,207390.49136199968,267325.838332
60,Decile 8,3000,383,383,1070.4067885117493,9.366666666666667,7147.333333333333,267391.98381600075,387725.630436
60,Decile 9,3000,481,481,855.2305613305613,9.383333333333333,1629.1,387838.113042,711162.203510001
60,Decile 10 (highest),3000,543,543,572.6944444444445,9.35,39.06666666666667,711337.070103,235065166.637259
120,Decile 1 (lowest),3000,785,785,165.36942675159236,9.316666666666666,9.616666666666667,88428.8872629999,100493.179272
120,Decile 2,3000,821,821,240.54238733252132,9.35,9.6,100494.427236,113333.845187
120,Decile 3,3000,756,756,302.86986331569665,9.35,9.616666666666667,113337.833364,128599.649061
120,Decile 4,3000,723,723,299.06975564776394,9.35,9.616666666666667,128612.266046,146338.090948
120,Decile 5,3000,691,691,356.34061746261455,9.383333333333333,9.633333333333333,146342.78853100023,170866.05737899995
120,Decile 6,3000,553,553,699.9486136226642,9.383333333333333,19.163333333333334,170884.843911,207390.394031
120,Decile 7,3000,391,391,969.0190963341859,9.366666666666667,7119.266666666666,207390.49136199968,267325.838332
120,Decile 8,3000,378,378,1074.903659611993,9.366666666666667,7122.353333333334,267391.98381600075,387725.630436
120,Decile 9,3000,479,479,851.5473903966597,9.4,1619.1299999999972,387838.113042,711162.203510001
120,Decile 10 (highest),3000,536,536,574.353171641791,9.375,19.183333333333334,711337.070103,235065166.637259
180,Decile 1 (lowest),3000,752,752,170.605429964539,9.3,9.6,88428.8872629999,100493.179272
180,Decile 2,3000,792,792,247.0356271043771,9.316666666666666,9.583333333333334,100494.427236,113333.845187
180,Decile 3,3000,735,735,308.807619047619,9.316666666666666,9.6,113337.833364,128599.649061
180,Decile 4,3000,694,694,308.8009606147935,9.333333333333334,9.6,128612.266046,146338.090948
180,Decile 5,3000,678,678,360.13013765978366,9.35,9.633333333333333,146342.78853100023,170866.05737899995
180,Decile 6,3000,536,536,716.6247823383084,9.383333333333333,19.1,170884.843911,207390.394031
180,Decile 7,3000,379,379,991.5356200527705,9.333333333333334,7125.559999999999,207390.49136199968,267325.838332
180,Decile 8,3000,367,367,1097.4972752043598,9.366666666666667,7211.4233333333395,267391.98381600075,387725.630436
180,Decile 9,3000,468,468,864.2619658119658,9.366666666666667,1864.3000000000038,387838.113042,711162.203510001
180,Decile 10 (highest),3000,527,527,578.9459203036054,9.35,19.116666666666667,711337.070103,235065166.637259
240,Decile 1 (lowest),3000,716,716,177.68587057728118,9.3,9.95,88428.8872629999,100493.179272
240,Decile 2,3000,766,766,253.69719321148827,9.333333333333334,14.508333333333333,100494.427236,113333.845187
240,Decile 3,3000,709,709,318.11889985895624,9.333333333333334,19.03333333333333,113337.833364,128599.649061
240,Decile 4,3000,663,663,321.05545500251384,9.35,19.130000000000003,128612.266046,146338.090948
240,Decile 5,3000,652,652,371.6671267893661,9.35,19.115,146342.78853100023,170866.05737899995
240,Decile 6,3000,527,527,724.031182795699,9.366666666666667,19.98333333333333,170884.843911,207390.394031
240,Decile 7,3000,375,375,994.7881333333333,9.35,7137.480000000004,207390.49136199968,267325.838332
240,Decile 8,3000,365,365,1094.514292237443,9.333333333333334,7187.493333333337,267391.98381600075,387725.630436
240,Decile 9,3000,461,461,870.8454808387563,9.366666666666667,2049.4166666666665,387838.113042,711162.203510001
240,Decile 10 (highest),3000,521,521,580.9150351887396,9.316666666666666,19.2,711337.070103,235065166.637259
300,Decile 1 (lowest),3000,685,685,183.82267639902676,9.333333333333334,19.016666666666666,88428.8872629999,100493.179272
300,Decile 2,3000,728,728,264.52861721611725,9.35,19.016666666666666,100494.427236,113333.845187
300,Decile 3,3000,671,671,332.9744162940884,9.35,19.016666666666666,113337.833364,128599.649061
300,Decile 4,3000,626,626,336.92883386581474,9.366666666666667,19.016666666666666,128612.266046,146338.090948
300,Decile 5,3000,623,623,385.4306046013911,9.383333333333333,9.65,146342.78853100023,170866.05737899995
300,Decile 6,3000,513,513,737.8421377517868,9.4,19.646666666666665,170884.843911,207390.394031
300,Decile 7,3000,369,369,1002.6693315266486,9.366666666666667,7157.419999999999,207390.49136199968,267325.838332
300,Decile 8,3000,361,361,1096.7290397045244,9.383333333333333,7199.633333333333,267391.98381600075,387725.630436
300,Decile 9,3000,452,452,880.5185840707965,9.375,2034.0866666666684,387838.113042,711162.203510001
300,Decile 10 (highest),3000,519,519,578.0120745022479,9.366666666666667,19.103333333333335,711337.070103,235065166.637259
360,Decile 1 (lowest),3000,658,658,189.2827507598784,9.4,19.15,88428.8872629999,100493.179272
360,Decile 2,3000,697,697,273.7331181252989,9.416666666666666,9.933333333333334,100494.427236,113333.845187
360,Decile 3,3000,643,643,344.3511923276309,9.4,9.946666666666667,113337.833364,128599.649061
360,Decile 4,3000,588,588,355.1212868480726,9.416666666666666,9.938333333333334,128612.266046,146338.090948
360,Decile 5,3000,604,604,394.053614790287,9.433333333333334,9.966666666666669,146342.78853100023,170866.05737899995
360,Decile 6,3000,491,491,764.756754921928,9.45,19.23333333333333,170884.843911,207390.394031
360,Decile 7,3000,364,364,1008.3395146520146,9.408333333333333,7117.469999999999,207390.49136199968,267325.838332
360,Decile 8,3000,354,354,1108.7318267419962,9.483333333333333,7216.294999999998,267391.98381600075,387725.630436
360,Decile 9,3000,450,450,877.435,9.45,1985.1050000000014,387838.113042,711162.203510001
360,Decile 10 (highest),3000,516,516,576.892215762274,9.433333333333334,19.2,711337.070103,235065166.637259
420,Decile 1 (lowest),3000,632,632,194.69098101265823,9.3,9.829999999999995,88428.8872629999,100493.179272
420,Decile 2,3000,666,666,283.71761761761763,9.333333333333334,9.641666666666666,100494.427236,113333.845187
420,Decile 3,3000,606,606,361.9533828382838,9.316666666666666,9.633333333333333,113337.833364,128599.649061
420,Decile 4,3000,548,548,377.1809306569343,9.316666666666666,9.688333333333334,128612.266046,146338.090948
420,Decile 5,3000,574,574,410.7060394889663,9.333333333333334,9.645000000000001,146342.78853100023,170866.05737899995
420,Decile 6,3000,476,476,782.6523459383753,9.366666666666667,29.983333333333334,170884.843911,207390.394031
420,Decile 7,3000,357,357,1019.9418300653595,9.35,7113.466666666671,207390.49136199968,267325.838332
420,Decile 8,3000,347,347,1120.7029298751202,9.333333333333334,7289.196666666675,267391.98381600075,387725.630436
420,Decile 9,3000,449,449,872.2871195248701,9.366666666666667,1931.1599999999992,387838.113042,711162.203510001
420,Decile 10 (highest),3000,514,514,574.0166018158236,9.316666666666666,19.2,711337.070103,235065166.637259
480,Decile 1 (lowest),3000,618,618,197.83926645091694,9.383333333333333,19.166666666666668,88428.8872629999,100493.179272
480,Decile 2,3000,631,631,297.37176439514,9.4,19.166666666666668,100494.427236,113333.845187
480,Decile 3,3000,572,572,380.90308857808856,9.4,19.2,113337.833364,128599.649061
480,Decile 4,3000,507,507,404.6815253122945,9.416666666666666,19.166666666666668,128612.266046,146338.090948
480,Decile 5,3000,539,539,434.2568645640074,9.433333333333334,19.203333333333333,146342.78853100023,170866.05737899995
480,Decile 6,3000,451,451,819.9780118255727,9.45,1149.4166666666667,170884.843911,207390.394031
480,Decile 7,3000,346,346,1044.869556840077,9.45,7209.333333333334,207390.49136199968,267325.838332
480,Decile 8,3000,340,340,1134.399068627451,9.4,7386.278333333335,267391.98381600075,387725.630436
480,Decile 9,3000,446,446,871.6749626307923,9.45,1889.3249999999998,387838.113042,711162.203510001
480,Decile 10 (highest),3000,510,510,574.6330065359476,9.4,19.83333333333333,711337.070103,235065166.637259
540,Decile 1 (lowest),3000,596,596,201.61845637583895,9.283333333333331,9.566666666666666,88428.8872629999,100493.179272
540,Decile 2,3000,612,612,302.96358932461874,9.3,9.583333333333334,100494.427236,113333.845187
540,Decile 3,3000,538,538,400.2123296158612,9.316666666666666,9.583333333333334,113337.833364,128599.649061
540,Decile 4,3000,480,480,422.6230555555556,9.316666666666666,9.6,128612.266046,146338.090948
540,Decile 5,3000,498,498,464.1398259705489,9.333333333333334,9.616666666666667,146342.78853100023,170866.05737899995
540,Decile 6,3000,423,423,866.1407013396375,9.35,4479.283333333346,170884.843911,207390.394031
540,Decile 7,3000,332,332,1078.907781124498,9.35,7617.235000000014,207390.49136199968,267325.838332
540,Decile 8,3000,334,334,1143.5379241516966,9.35,7368.348333333332,267391.98381600075,387725.630436
