horizon_min,volume_bucket,n,mean_abs_isotonic_gap,std_abs_isotonic_gap,mean_signed_isotonic_gap,share_positive_isotonic_gap,decile_volume_min,decile_volume_max,mean_abs_gap_ci95_low,mean_abs_gap_ci95_high,rank_abs_gap_within_horizon,is_lowest_abs_gap_within_horizon,is_highest_abs_gap_within_horizon
30,Decile 9,637,0.023871464635384317,0.031020501369643606,-0.006007782982968509,0.5070643642072213,303187.61149400024,625282.5868629998,0.021462473687839836,0.026280455582928797,9,False,False
30,Decile 10 (highest),638,0.02930294259131218,0.03322723170569186,-0.011291757741025234,0.5141065830721003,626396.9356580008,172972056.63332495,0.02672460433844147,0.03188128084418289,10,False,True
60,Decile 1 (lowest),626,0.01085263470331346,0.023143977170340432,-0.0028059964171586365,0.65814696485623,88431.65343399995,97666.63496399978,0.009039596743817893,0.012665672662809026,7,False,False
60,Decile 2,625,0.00895613584670244,0.019919829589659297,-0.0019753279759762163,0.6768,97667.37895899997,107043.68658100002,0.0073944212068731505,0.010517850486531729,4,False,False
60,Decile 3,625,0.008784874130500076,0.018193960027551054,0.0010473648562061354,0.7168,107062.09093099996,117377.38891199988,0.007358467664340073,0.010211280596660079,3,False,False
60,Decile 4,625,0.008964298902189452,0.01889437152967204,0.0014536764110325054,0.7568,117387.82122199988,129864.88060300011,0.007482980174263165,0.01044561763011574,5,False,False
60,Decile 5,625,0.008108185451584734,0.018066712142111488,0.0021675802982519133,0.7808,129872.20044400053,144884.9410450001,0.006691755219643193,0.009524615683526274,1,True,False
60,Decile 6,625,0.008423733975940073,0.01925368851713291,-6.570430164559039e-05,0.7456,144919.3250659999,165098.11831699984,0.006914244796196853,0.009933223155683292,2,False,False
60,Decile 7,625,0.010558297277643042,0.021443714704724014,-0.00044948286153976495,0.7328,165167.9320930001,201218.72861199972,0.008877110044792679,0.012239484510493405,6,False,False
60,Decile 8,625,0.01771664199936309,0.02870036075605036,-0.002259794008499509,0.672,201228.2900600001,305409.8481860004,0.015466533716088743,0.01996675028263744,8,False,False
60,Decile 9,625,0.024142691451523188,0.032076862397824375,-0.002737580282299274,0.5568,305508.47823799966,630465.2449630004,0.021627865439533756,0.02665751746351262,9,False,False
60,Decile 10 (highest),625,0.03050761576300287,0.034516904508507446,-0.007084646124103821,0.5632,630750.8434499997,172972056.63332495,0.027801490449535886,0.033213741076469856,10,False,True
120,Decile 1 (lowest),612,0.009211298699862855,0.020617220891764026,-0.0028196023897193332,0.6372549019607843,88431.65343399995,97705.75495699992,0.007577831251734119,0.01084476614799159,7,False,False
120,Decile 2,611,0.007340276978590363,0.01643771907316196,-0.0027766797487130904,0.6693944353518821,97712.46970499997,107219.90099199997,0.006036879068936652,0.008643674888244074,3,False,False
120,Decile 3,611,0.007560285230650193,0.016817679715447093,-0.0010133627653025389,0.6841243862520459,107227.22746799998,117685.4305099999,0.006226759058997304,0.008893811402303083,5,False,False
120,Decile 4,611,0.007413224914326629,0.01770241537144339,0.00022875560209068276,0.7414075286415712,117698.2853379992,130343.87419999971,0.006009545298665533,0.008816904529987724,4,False,False
120,Decile 5,612,0.006775172323893788,0.01772333986845684,4.1213461238466615e-06,0.7630718954248366,130366.07885399937,145390.25832999995,0.005370982161736125,0.008179362486051452,2,False,False
120,Decile 6,611,0.006405372024429947,0.015418425772102277,-0.0012656092251256534,0.7184942716857611,145438.78667699988,165995.83546399983,0.005182797053288085,0.007627946995571809,1,True,False
