category,horizon_min,n,n_unique_markets,predicted_mean,observed_yes_rate,mae,brier,mean_signed_error,mean_volume
Politics,840,158,158,0.1442120253164557,0.1518987341772152,0.07492088607594936,0.03396971677215189,-0.007686708860759492,2090647.4279143421
Technology,840,97,97,0.14804123711340206,0.2268041237113402,0.18037113402061855,0.10905457731958762,-0.07876288659793815,327531.3654151449
Economy,840,78,78,0.11310897435897435,0.1282051282051282,0.03500641025641025,0.017577900641025636,-0.015096153846153842,3800762.876816362
World,840,27,27,0.08911111111111111,0.1111111111111111,0.11911111111111111,0.06098057407407406,-0.022,5820820.331206614
Science,840,2,2,0.18275,0.0,0.18275,0.06552812499999999,0.18275,201680.56840049993
Crypto,900,1480,1480,0.4516320945945946,0.452027027027027,0.40617195945945944,0.20183731739864866,-0.00039493243243242924,263466.5174035248
Sports,900,1336,1336,0.46625037425149696,0.47380239520958084,0.3518506736526946,0.1789465024326347,-0.007552020958083826,676721.1373126555
Uncategorized,900,471,471,0.42066135881104033,0.4033970276008493,0.3658885350318471,0.18544875743099787,0.017264331210191084,180084.89429411042
Culture,900,167,167,0.10489520958083831,0.11976047904191617,0.08872155688622754,0.04477327994011975,-0.014865269461077845,568767.208299137
Politics,900,158,158,0.14379113924050635,0.1518987341772152,0.07879746835443037,0.03748591772151898,-0.008107594936708857,2090647.4279143421
Technology,900,97,97,0.1466185567010309,0.2268041237113402,0.18057731958762885,0.10894332474226803,-0.08018556701030928,327531.3654151449
Economy,900,78,78,0.11483333333333334,0.1282051282051282,0.03576923076923076,0.018153685897435896,-0.013371794871794868,3800762.876816362
World,900,27,27,0.09227777777777778,0.1111111111111111,0.12227777777777778,0.06373113888888889,-0.01883333333333333,5820820.331206614
Science,900,2,2,0.166,0.0,0.166,0.0538,0.166,201680.56840049993
Crypto,960,1350,1350,0.44676037037037036,0.4525925925925926,0.3977551851851852,0.19763033648148148,-0.0058322222222222195,274982.0469731472
Sports,960,1333,1333,0.4660423855963991,0.4741185296324081,0.3521129032258064,0.1791598058889722,-0.008076144036008997,677952.4063353125
Uncategorized,960,455,455,0.41805494505494506,0.3956043956043956,0.3613736263736264,0.18349905274725276,0.022450549450549456,181674.7496542022
Culture,960,167,167,0.10410778443113772,0.11976047904191617,0.09216167664670659,0.04776535928143712,-0.01565269461077844,568767.208299137
Politics,960,158,158,0.14300316455696202,0.1518987341772152,0.07871202531645569,0.036891890822784795,-0.008895569620253162,2090647.4279143421
Technology,960,97,97,0.1480360824742268,0.2268041237113402,0.18477835051546393,0.11236559536082472,-0.0787680412371134,327531.3654151449
Economy,960,78,78,0.11407692307692308,0.1282051282051282,0.035410256410256406,0.017440499999999994,-0.014128205128205127,3800762.876816362
World,960,27,27,0.08859259259259258,0.1111111111111111,0.11933333333333332,0.06275812962962961,-0.02251851851851851,5820820.331206614
Science,960,2,2,0.08075,0.0,0.08075,0.012488125,0.08075,201680.56840049993
Sports,1020,1328,1328,0.4652119728915663,0.47289156626506024,0.35171874999999997,0.1788628563629518,-0.00767959337349397,677781.1972397278
Crypto,1020,1250,1250,0.4423152,0.444,0.3894808,0.1931482364,-0.0016847999999999972,285331.6132971086
Uncategorized,1020,422,422,0.41037440758293836,0.3862559241706161,0.35000710900473936,0.1778651125592417,0.024118483412322277,184080.79907622517
Culture,1020,167,167,0.10439820359281438,0.11976047904191617,0.08895508982035928,0.04505254341317364,-0.015362275449101794,568767.208299137
Politics,1020,158,158,0.14465822784810128,0.1518987341772152,0.07830379746835442,0.03575041455696201,-0.007240506329113919,2090647.4279143421
Technology,1020,97,97,0.14737113402061855,0.2268041237113402,0.18351546391752577,0.11155648969072163,-0.07943298969072166,327531.3654151449
Economy,1020,78,78,0.11524999999999999,0.1282051282051282,0.037647435897435896,0.019322560897435892,-0.012955128205128202,3800762.876816362
World,1020,27,27,0.08833333333333332,0.1111111111111111,0.1187037037037037,0.062264259259259234,-0.022777777777777772,5820820.331206614
Science,1020,2,2,0.07475,0.0,0.07475,0.01059312499999995,0.07475,201680.56840049993
Sports,1080,1314,1314,0.4649855403348554,0.471841704718417,0.35028614916286144,0.17806683866057837,-0.006856164383561639,679445.6801382478
Crypto,1080,1130,1130,0.43683097345132743,0.43805309734513276,0.37861681415929205,0.18739254557522123,-0.0012221238938053063,300751.0987351962
Uncategorized,1080,394,394,0.40586548223350255,0.3756345177664975,0.3418705583756345,0.17525184137055835,0.03023096446700508,188669.59079327923
Culture,1080,167,167,0.10276946107784432,0.11976047904191617,0.08955988023952095,0.04507518113772454,-0.01699101796407185,568767.208299137
Politics,1080,158,158,0.14460759493670886,0.1518987341772152,0.07646835443037973,0.03383558544303796,-0.007291139240506327,2090647.4279143421
Technology,1080,97,97,0.1457938144329897,0.2268041237113402,0.18569072164948455,0.1143496443298969,-0.08101030927835051,327531.3654151449
Economy,1080,78,78,0.11493589743589744,0.1282051282051282,0.03708974358974358,0.01807262179487179,-0.013269230769230766,3800762.876816362
World,1080,27,27,0.09129629629629629,0.1111111111111111,0.11833333333333335,0.06002998148148148,-0.019814814814814816,5820820.331206614
Science,1080,2,2,0.0735,0.0,0.0735,0.01023249999999995,0.0735,201680.56840049993
Sports,1140,1304,1304,0.465041027607362,0.4700920245398773,0.3490072852760736,0.1771470711273006,-0.005050996932515332,665847.5863026737
Crypto,1140,997,997,0.43192226680040124,0.4262788365095286,0.3674398194583751,0.1818877505015045,0.005643430290872621,322139.71268704085
Uncategorized,1140,367,367,0.4000790190735695,0.3814713896457766,0.32985831062670296,0.16770883514986373,0.018607629427792916,192765.10685325076
Culture,1140,167,167,0.10331437125748502,0.11976047904191617,0.08971556886227545,0.04490168113772454,-0.016446107784431133,568767.208299137
Politics,1140,158,158,0.1459746835443038,0.1518987341772152,0.07818354430379747,0.03466235443037973,-0.00592405063291139,2090647.4279143421
Technology,1140,97,97,0.14388144329896907,0.2268041237113402,0.18499484536082472,0.11511517783505154,-0.08292268041237114,327531.3654151449
Economy,1140,78,78,0.11478205128205128,0.1282051282051282,0.037717948717948716,0.01844825,-0.013423076923076923,3800762.876816362
World,1140,27,27,0.09535185185185185,0.1111111111111111,0.12090740740740741,0.060865824074074065,-0.015759259259259258,5820820.331206614
Science,1140,2,2,0.07375,0.0,0.07375,0.010304124999999949,0.07375,201680.56840049993
Sports,1200,1293,1293,0.4654385150812065,0.4694508894044857,0.3478476411446249,0.17652160402165504,-0.00401237432327919,668212.4896224607
Crypto,1200,897,897,0.4244342251950947,0.4169453734671126,0.35334726867335564,0.17438031633221848,0.007488851727982165,343308.7154353777
Uncategorized,1200,347,347,0.39534149855907785,0.3861671469740634,0.32169884726224784,0.16399500648414986,0.009174351585014411,195496.7766366629
Culture,1200,167,167,0.10283233532934133,0.11976047904191617,0.0924251497005988,0.04643696706586825,-0.01692814371257485,568767.208299137
Politics,1200,158,158,0.14749367088607596,0.1518987341772152,0.0771139240506329,0.033723066455696185,-0.004405063291139238,2090647.4279143421
Technology,1200,97,97,0.14457216494845362,0.2268041237113402,0.1854278350515464,0.11548125515463917,-0.0822319587628866,327531.3654151449
Economy,1200,78,78,0.11733974358974358,0.1282051282051282,0.039993589743589734,0.020884189102564097,-0.010865384615384614,3800762.876816362
World,1200,27,27,0.09585185185185185,0.1111111111111111,0.12214814814814814,0.06241842592592591,-0.01525925925925926,5820820.331206614
Science,1200,2,2,0.073,0.0,0.073,0.01008999999999995,0.073,201680.56840049993
Sports,1260,1281,1281,0.46490788446526154,0.46604215456674475,0.3463302107728337,0.17564806986729115,-0.0011342701014832109,671879.0946798294
Crypto,1260,768,768,0.410599609375,0.4049479166666667,0.329052734375,0.1618180276692708,0.005651692708333335,377531.108053057
Uncategorized,1260,325,325,0.3889923076923077,0.37846153846153846,0.31091230769230765,0.1588972746153846,0.010530769230769234,199963.92312457238
Culture,1260,167,167,0.10081137724550898,0.11976047904191617,0.09512275449101795,0.04896225598802394,-0.018949101796407186,568767.208299137
