horizon_min,volume_bucket,bin_start,bin_end,bin_mid,n,mean_signed_isotonic_gap,mean_abs_isotonic_gap,decile_volume_min,decile_volume_max
10,Decile 10 (highest),0.3,0.4,0.35,51,-0.07971874565063419,0.07971874565063419,621410.6510470011,172972056.63332495
10,Decile 10 (highest),0.4,0.5,0.45,105,-0.02932768512596298,0.02993738695061807,621410.6510470011,172972056.63332495
10,Decile 10 (highest),0.5,0.6,0.55,103,0.00456094826725833,0.012264604269357668,621410.6510470011,172972056.63332495
10,Decile 10 (highest),0.6,0.7,0.6499999999999999,35,0.06516603233337737,0.06516603233337737,621410.6510470011,172972056.63332495
10,Decile 10 (highest),0.7,0.7999999999999999,0.75,26,0.08956543178115088,0.08956543178115088,621410.6510470011,172972056.63332495
10,Decile 10 (highest),0.8,0.9,0.8500000000000001,22,-0.004131016042780777,0.07049465240641709,621410.6510470011,172972056.63332495
10,Decile 10 (highest),0.9,1.0,0.95,53,-0.0169528301886792,0.0169528301886792,621410.6510470011,172972056.63332495
30,Decile 1 (lowest),0.0,0.1,0.05,55,0.002137490608564989,0.002731555221637866,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.1,0.2,0.15000000000000002,15,-0.07297359307359305,0.07297359307359305,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.2,0.30000000000000004,0.25,22,-0.053901778252391105,0.053901778252391105,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.3,0.4,0.35,11,-0.07519343046072792,0.07519343046072792,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.4,0.5,0.45,30,-0.0201506674274202,0.0201506674274202,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.5,0.6,0.55,474,0.0029316921461764005,0.003566365867681123,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.6,0.7,0.6499999999999999,9,0.06878167641325539,0.06878167641325539,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.7,0.7999999999999999,0.75,4,0.0629166666666667,0.0629166666666667,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.8,0.9,0.8500000000000001,3,0.08009803921568637,0.08009803921568637,88431.65343399995,97692.75465599968
30,Decile 1 (lowest),0.9,1.0,0.95,16,-0.01993749999999997,0.01993749999999997,88431.65343399995,97692.75465599968
30,Decile 2,0.0,0.1,0.05,47,0.0018616288611453028,0.0026423861438368214,97693.54966299963,106962.44326299951
30,Decile 2,0.1,0.2,0.15000000000000002,11,-0.07450118063754424,0.07450118063754424,97693.54966299963,106962.44326299951
30,Decile 2,0.2,0.30000000000000004,0.25,15,-0.07328319713993871,0.07328319713993871,97693.54966299963,106962.44326299951
30,Decile 2,0.3,0.4,0.35,7,-0.08001393934273889,0.08001393934273889,97693.54966299963,106962.44326299951
30,Decile 2,0.4,0.5,0.45,32,-0.015590354982075469,0.015590354982075469,97693.54966299963,106962.44326299951
30,Decile 2,0.5,0.6,0.55,501,0.0031175897442515346,0.00368175809915421,97693.54966299963,106962.44326299951
30,Decile 2,0.6,0.7,0.6499999999999999,3,0.032251461988304087,0.032251461988304087,97693.54966299963,106962.44326299951
30,Decile 2,0.7,0.7999999999999999,0.75,2,0.07333333333333336,0.07333333333333336,97693.54966299963,106962.44326299951
30,Decile 2,0.8,0.9,0.8500000000000001,3,0.05232026143790854,0.05232026143790854,97693.54966299963,106962.44326299951
30,Decile 2,0.9,1.0,0.95,16,-0.007374999999999958,0.007374999999999958,97693.54966299963,106962.44326299951
30,Decile 3,0.0,0.1,0.05,59,0.002652915907923613,0.003119017602838867,106962.87608500004,117188.87945699958
30,Decile 3,0.1,0.2,0.15000000000000002,5,-0.06227272727272724,0.06227272727272724,106962.87608500004,117188.87945699958
30,Decile 3,0.2,0.30000000000000004,0.25,9,-0.05982985283547079,0.05982985283547079,106962.87608500004,117188.87945699958
30,Decile 3,0.3,0.4,0.35,8,-0.07686649911295093,0.07686649911295093,106962.87608500004,117188.87945699958
30,Decile 3,0.4,0.5,0.45,36,-0.023887750785044765,0.023887750785044765,106962.87608500004,117188.87945699958
30,Decile 3,0.5,0.6,0.55,483,0.0033766046995298287,0.003879218169343908,106962.87608500004,117188.87945699958
30,Decile 3,0.6,0.7,0.6499999999999999,13,0.06649122807017548,0.06649122807017548,106962.87608500004,117188.87945699958
30,Decile 3,0.7,0.7999999999999999,0.75,4,0.058750000000000024,0.058750000000000024,106962.87608500004,117188.87945699958
30,Decile 3,0.8,0.9,0.8500000000000001,1,0.04529411764705893,0.04529411764705893,106962.87608500004,117188.87945699958
30,Decile 3,0.9,1.0,0.95,21,-0.003142857142857098,0.003142857142857098,106962.87608500004,117188.87945699958
30,Decile 4,0.0,0.1,0.05,56,0.0021765053128689495,0.003344721566312476,117215.51321599974,129517.04550800002
30,Decile 4,0.1,0.2,0.15000000000000002,2,-0.05477272727272724,0.05477272727272724,117215.51321599974,129517.04550800002
30,Decile 4,0.2,0.30000000000000004,0.25,13,-0.06514209292580078,0.06514209292580078,117215.51321599974,129517.04550800002
30,Decile 4,0.3,0.4,0.35,10,-0.07421052631578949,0.07421052631578949,117215.51321599974,129517.04550800002
30,Decile 4,0.4,0.5,0.45,31,-0.020417360989911884,0.020417360989911884,117215.51321599974,129517.04550800002
30,Decile 4,0.5,0.6,0.55,496,0.003289203561295411,0.003860581383309904,117215.51321599974,129517.04550800002
30,Decile 4,0.6,0.7,0.6499999999999999,9,0.05949317738791428,0.05949317738791428,117215.51321599974,129517.04550800002
30,Decile 4,0.7,0.7999999999999999,0.75,6,0.07333333333333338,0.07333333333333338,117215.51321599974,129517.04550800002
30,Decile 4,0.8,0.9,0.8500000000000001,4,0.055573529411764716,0.055573529411764716,117215.51321599974,129517.04550800002
30,Decile 4,0.9,1.0,0.95,10,-0.0005499999999999505,0.0005499999999999505,117215.51321599974,129517.04550800002
30,Decile 5,0.0,0.1,0.05,49,0.0021458930679709902,0.0025978242536684095,129517.13647500006,144386.88338500028
30,Decile 5,0.1,0.2,0.15000000000000002,3,-0.06727272727272723,0.06727272727272723,129517.13647500006,144386.88338500028
30,Decile 5,0.2,0.30000000000000004,0.25,5,-0.07097565543071159,0.07097565543071159,129517.13647500006,144386.88338500028
30,Decile 5,0.3,0.4,0.35,6,-0.07184585058150997,0.07184585058150997,129517.13647500006,144386.88338500028
30,Decile 5,0.4,0.5,0.45,24,-0.02652663967393366,0.02652663967393366,129517.13647500006,144386.88338500028
30,Decile 5,0.5,0.6,0.55,517,0.0036381823316863895,0.0039904390312911495,129517.13647500006,144386.88338500028
30,Decile 5,0.6,0.7,0.6499999999999999,10,0.07641228070175442,0.07641228070175442,129517.13647500006,144386.88338500028
30,Decile 5,0.7,0.7999999999999999,0.75,6,0.05444444444444446,0.05444444444444446,129517.13647500006,144386.88338500028
30,Decile 5,0.8,0.9,0.8500000000000001,5,0.004238095238095263,0.02957142857142856,129517.13647500006,144386.88338500028
30,Decile 5,0.9,1.0,0.95,13,-0.00838461538461535,0.00838461538461535,129517.13647500006,144386.88338500028
30,Decile 6,0.0,0.1,0.05,55,0.0018658777861257207,0.0021209491610318064,144427.56546799996,164262.091244
