horizon_min,global_volume_bucket,mae,n,global_volume_min,global_volume_max
840,Decile 9,0.273304347826087,552,300653.0830789996,621381.3452940036
840,Decile 10 (highest),0.27861433447098977,586,621410.6510470011,172972056.63332495
900,Decile 1 (lowest),0.3966212121212121,330,88437.42444700007,97646.906819
900,Decile 2,0.3923036303630363,303,97667.37895899997,106856.02341400004
900,Decile 3,0.38794670846394985,319,106964.79420899984,117080.93029499936
900,Decile 4,0.3823458781362007,279,117146.826052,129156.34190499983
900,Decile 5,0.400530303030303,297,129249.27908200015,144078.13384399982
900,Decile 6,0.37654503105590065,322,144338.91262200018,163903.887787
900,Decile 7,0.34307923497267756,366,164018.97364100002,199565.025801
900,Decile 8,0.288535637149028,463,199660.43247300017,300275.0529909999
900,Decile 9,0.2750063520871143,551,300653.0830789996,621381.3452940036
900,Decile 10 (highest),0.27930290102389077,586,621410.6510470011,172972056.63332495
960,Decile 1 (lowest),0.38947861842105264,304,88437.42444700007,97646.906819
960,Decile 2,0.3874293103448276,290,97667.37895899997,106856.02341400004
960,Decile 3,0.3794273648648649,296,106964.79420899984,117080.93029499936
960,Decile 4,0.3781324626865672,268,117146.826052,129156.34190499983
960,Decile 5,0.3928181818181818,275,129249.27908200015,144078.13384399982
960,Decile 6,0.3722628205128205,312,144338.91262200018,163903.887787
960,Decile 7,0.33182890855457225,339,164018.97364100002,199565.025801
960,Decile 8,0.28170935412026726,449,199660.43247300017,300275.0529909999
960,Decile 9,0.2751523722627737,548,300653.0830789996,621381.3452940036
960,Decile 10 (highest),0.28040870307167237,586,621410.6510470011,172972056.63332495
1020,Decile 1 (lowest),0.3849877622377622,286,88437.42444700007,97646.906819
1020,Decile 2,0.38112727272727276,275,97667.37895899997,106856.02341400004
1020,Decile 3,0.3728274021352313,281,106964.79420899984,117080.93029499936
1020,Decile 4,0.368484,250,117146.826052,129156.34190499983
1020,Decile 5,0.38678294573643407,258,129249.27908200015,144078.13384399982
1020,Decile 6,0.36176124567474044,289,144338.91262200018,163903.887787
1020,Decile 7,0.3224537037037037,324,164018.97364100002,199565.025801
1020,Decile 8,0.27663211845102503,439,199660.43247300017,300275.0529909999
1020,Decile 9,0.2719134438305709,543,300653.0830789996,621381.3452940036
1020,Decile 10 (highest),0.27953681506849315,584,621410.6510470011,172972056.63332495
1080,Decile 1 (lowest),0.37752434456928835,267,88437.42444700007,97646.906819
1080,Decile 2,0.37136363636363634,253,97667.37895899997,106856.02341400004
1080,Decile 3,0.36541312741312737,259,106964.79420899984,117080.93029499936
1080,Decile 4,0.3599763948497854,233,117146.826052,129156.34190499983
1080,Decile 5,0.3779831932773109,238,129249.27908200015,144078.13384399982
1080,Decile 6,0.35106343283582087,268,144338.91262200018,163903.887787
1080,Decile 7,0.31134323432343236,303,164018.97364100002,199565.025801
1080,Decile 8,0.2702564402810304,427,199660.43247300017,300275.0529909999
1080,Decile 9,0.26951765799256505,538,300653.0830789996,621381.3452940036
1080,Decile 10 (highest),0.27890361445783135,581,621410.6510470011,172972056.63332495
1140,Decile 1 (lowest),0.3699979338842975,242,88437.42444700007,97646.906819
1140,Decile 2,0.36170386266094423,233,97692.75465599968,106856.02341400004
1140,Decile 3,0.35776371308016874,237,106964.79420899984,117080.93029499936
1140,Decile 4,0.3523977272727273,220,117146.826052,129156.34190499983
1140,Decile 5,0.3643831775700934,214,129249.27908200015,144070.52686999956
1140,Decile 6,0.3329766949152542,236,144338.91262200018,163903.887787
1140,Decile 7,0.30609044368600685,293,164018.97364100002,199565.025801
1140,Decile 8,0.26302189781021895,411,199660.43247300017,300275.0529909999
1140,Decile 9,0.2681835205992509,534,300653.0830789996,621381.3452940036
1140,Decile 10 (highest),0.2780658578856152,577,621410.6510470011,172972056.63332495
1200,Decile 1 (lowest),0.3561774193548387,217,88437.42444700007,97646.906819
1200,Decile 2,0.3528202764976958,217,97692.75465599968,106856.02341400004
1200,Decile 3,0.34916289592760175,221,106964.79420899984,117080.93029499936
1200,Decile 4,0.3452342995169082,207,117146.826052,129156.34190499983
