category,horizon_min,n,n_unique_markets,raw_predicted_mean,calibrated_predicted_mean,observed_yes_rate,raw_mae,raw_brier,calibrated_mae,calibrated_brier,mean_signed_isotonic_gap,mean_abs_isotonic_gap,share_positive_isotonic_gap,mean_volume
Economy,30,89,89,0.1605056179775281,0.16853932584269665,0.16853932584269662,0.09210112359550558,0.048621612359550564,0.07423756019261638,0.03711878009630819,-0.008033707865168539,0.022775280898876406,0.8202247191011236,3359638.341085194
World,30,27,27,0.09077777777777778,0.1111111111111111,0.1111111111111111,0.13218518518518518,0.07677066666666665,0.08888888888888889,0.04444444444444445,-0.020333333333333328,0.05255555555555556,0.8148148148148148,5820820.331206615
Science,30,2,2,0.03225,0.0,0.0,0.03225,0.001866625,0.0,0.0,0.03225,0.03225,1.0,201680.56840049993
Crypto,60,3164,3164,0.47909623893805303,0.4791403286978509,0.47914032869785084,0.453469816687737,0.22668460785398228,0.45197528251907854,0.22598764125953927,-4.408975979769897e-05,0.0038943915007607502,0.7740202275600506,195334.76746646507
Sports,60,1588,1588,0.48214011335012597,0.49433249370277077,0.49433249370277077,0.36243797229219143,0.18649697528337533,0.3636332073294357,0.18181660366471789,-0.012192380352644836,0.036509809145514424,0.396095717884131,633490.8957245431
Uncategorized,60,951,951,0.4619316508937959,0.4374342797055731,0.4374342797055731,0.42853627760252366,0.2168760483701367,0.42510662104447733,0.21255331052223872,0.02449737118822295,0.032094709123100314,0.9158780231335436,155148.38327524596
Culture,60,173,173,0.11385838150289017,0.12138728323699421,0.12138728323699421,0.07300867052023119,0.0341872210982659,0.056812551610239466,0.028406275805119743,-0.007528901734104048,0.022968208092485547,0.8265895953757225,555106.6405986755
Politics,60,158,158,0.14062658227848102,0.1518987341772152,0.1518987341772152,0.05686075949367087,0.02752325949367088,0.04149085794655415,0.020745428973277073,-0.011272151898734175,0.024871308016877633,0.7784810126582279,2090647.4279143417
Technology,60,99,99,0.15814646464646465,0.23232323232323235,0.23232323232323232,0.1802070707070707,0.11266312373737375,0.18851518851518853,0.09425759425759427,-0.07417676767676769,0.07553030303030302,0.42424242424242425,322999.4184035561
Economy,60,89,89,0.16014606741573034,0.16853932584269662,0.16853932584269662,0.09008988764044942,0.04608113483146068,0.08239700374531836,0.04119850187265918,-0.008393258426966288,0.01391011235955056,0.7752808988764045,3359638.341085194
World,60,27,27,0.08551851851851852,0.1111111111111111,0.1111111111111111,0.12677777777777777,0.07490496296296296,0.08888888888888889,0.04444444444444445,-0.025592592592592587,0.04862962962962962,0.8148148148148148,5820820.331206615
Science,60,2,2,0.06125,0.0,0.0,0.06125,0.007086624999999999,0.0,0.0,0.06125,0.06125,1.0,201680.56840049993
Crypto,120,3075,3075,0.4784112195121951,0.47934959349593503,0.479349593495935,0.4519510569105691,0.2256905319512195,0.4500432931013152,0.2250216465506576,-0.0009383739837398696,0.003948217815560594,0.08292682926829269,197269.63054858812
Sports,120,1565,1565,0.479432587859425,0.4913738019169329,0.4913738019169329,0.3628370607028754,0.18577363354632587,0.36342466444147775,0.18171233222073882,-0.011941214057507974,0.03333020838300509,0.3610223642172524,634723.4776717683
Uncategorized,120,925,925,0.46127999999999997,0.43891891891891893,0.43891891891891893,0.4261037837837837,0.21535538810810811,0.42114490864448395,0.21057245432224195,0.022361081081081095,0.027918918918918928,0.9264864864864865,156017.01381280966
Culture,120,173,173,0.11399421965317919,0.12138728323699421,0.12138728323699421,0.07380346820809247,0.03388450867052024,0.05070940620073568,0.025354703100367842,-0.007393063583815031,0.03046242774566474,0.8323699421965318,555106.6405986755
Politics,120,158,158,0.14353164556962028,0.1518987341772152,0.1518987341772152,0.06671518987341771,0.032817196202531644,0.05645218002812939,0.028226090014064703,-0.008367088607594933,0.019002812939521795,0.7468354430379747,2090647.4279143417
Technology,120,99,99,0.1606161616161616,0.23232323232323232,0.23232323232323232,0.18213131313131314,0.11138087878787879,0.18879941607214334,0.09439970803607169,-0.07170707070707072,0.07403030303030303,0.32323232323232326,322999.4184035561
Economy,120,89,89,0.16479775280898876,0.1685393258426966,0.16853932584269662,0.09519101123595505,0.04968846067415731,0.08389513108614233,0.041947565543071164,-0.0037415730337078627,0.01646441947565543,0.797752808988764,3359638.341085194
World,120,27,27,0.08725925925925926,0.1111111111111111,0.1111111111111111,0.12285185185185184,0.06962507407407408,0.08888888888888889,0.04444444444444445,-0.02385185185185185,0.050259259259259254,0.8148148148148148,5820820.331206615
Science,120,2,2,0.0645,0.0,0.0,0.0645,0.00788125,0.0,0.0,0.0645,0.0645,1.0,201680.56840049993
Crypto,180,2981,2981,0.47736598456893653,0.4766856759476686,0.4766856759476686,0.45074538745387455,0.22511740858772225,0.44880756724593013,0.22440378362296512,0.0006803086212679957,0.00501391983963524,0.7681985910768199,199558.90082042012
Sports,180,1504,1504,0.4765658244680851,0.488031914893617,0.488031914893617,0.36123670212765957,0.18524623570478724,0.3630802289432468,0.1815401144716234,-0.011466090425531927,0.029353638164521342,0.35638297872340424,643827.1098251852
Uncategorized,180,896,896,0.4583236607142857,0.43638392857142855,0.43638392857142855,0.42498549107142863,0.2150473917410714,0.4207668757679981,0.21038343788399905,0.02193973214285716,0.029896665958049903,0.9185267857142857,156991.19067919077
Culture,180,173,173,0.11385838150289017,0.12138728323699421,0.12138728323699421,0.07410693641618495,0.03323757658959537,0.05077363227652244,0.02538681613826123,-0.007528901734104048,0.028998394348105326,0.8497109826589595,555106.6405986755
Politics,180,158,158,0.14516772151898735,0.15189873417721517,0.1518987341772152,0.06854113924050632,0.03478509651898734,0.05942334739803094,0.02971167369901547,-0.006731012658227846,0.01816912798874824,0.7468354430379747,2090647.4279143417
Technology,180,98,98,0.15694387755102038,0.22448979591836737,0.22448979591836735,0.17331122448979597,0.10349456377551021,0.17005396143419776,0.08502698071709887,-0.06754591836734693,0.06808673469387755,0.30612244897959184,325354.63128575566
Economy,180,89,89,0.16682022471910113,0.1685393258426966,0.16853932584269662,0.09725842696629212,0.05229182022471911,0.08389513108614233,0.041947565543071164,-0.0017191011235954997,0.01688389513108614,0.8089887640449438,3359638.341085194
World,180,27,27,0.08192592592592592,0.1111111111111111,0.1111111111111111,0.11896296296296295,0.06802396296296297,0.08641975308641976,0.04320987654320988,-0.02918518518518518,0.052296296296296285,0.8148148148148148,5820820.331206615
Science,180,2,2,0.068,0.0,0.0,0.068,0.008980000000000002,0.0,0.0,0.068,0.068,1.0,201680.56840049993
Crypto,240,2870,2870,0.47625,0.47735191637630664,0.47735191637630664,0.448858362369338,0.22387628318815334,0.44599060306738453,0.22299530153369226,-0.0011019163763066099,0.004885845451149388,0.7655052264808362,202352.58379806287
Sports,240,1473,1473,0.4734582484725051,0.48336727766463,0.48336727766463,0.36451934826883914,0.18743076849966053,0.3669511053620836,0.18347555268104185,-0.009909029192124906,0.031809142199735886,0.36320434487440595,647698.8828214804
Uncategorized,240,865,865,0.4571387283236994,0.43699421965317914,0.4369942196531792,0.4221167630057803,0.21315108959537574,0.41639860381491683,0.20819930190745845,0.020144508670520245,0.02690075319670696,0.9179190751445087,158225.73055118028
Culture,240,173,173,0.11392196531791907,0.12138728323699421,0.12138728323699421,0.07366763005780344,0.031727593930635845,0.042205706945591344,0.021102853472795665,-0.007465317919075142,0.03588810900082576,0.8670520231213873,555106.6405986755
Politics,240,158,158,0.14427848101265822,0.1518987341772152,0.1518987341772152,0.06706962025316454,0.03375728481012658,0.059108742319934855,0.029554371159967428,-0.007620253164556956,0.017813753793767113,0.740506329113924,2090647.4279143417
Technology,240,98,98,0.15287755102040815,0.22448979591836735,0.22448979591836735,0.17777551020408164,0.10827320408163264,0.18309466643800376,0.0915473332190019,-0.07161224489795918,0.07218367346938774,0.3163265306122449,325354.63128575566
Economy,240,89,89,0.1653483146067416,0.16853932584269665,0.16853932584269662,0.093876404494382,0.04789288764044944,0.06914433880726016,0.03457216940363008,-0.003191011235955055,0.031603284356093345,0.8539325842696629,3359638.341085194
World,240,27,27,0.08529629629629627,0.1111111111111111,0.1111111111111111,0.12125925925925925,0.068688,0.1111111111111111,0.05555555555555555,-0.025814814814814818,0.04429629629629629,0.8148148148148148,5820820.331206615
Science,240,2,2,0.06425,0.0,0.0,0.06425,0.007879625,0.0,0.0,0.06425,0.06425,1.0,201680.56840049993
