horizon_min,volume_bucket,n,mae,mean_staleness_min,median_staleness_min,p90_staleness_min,mean_volatility_std,mean_volatility_range,mean_horizon_count_used,decile_volume_min,decile_volume_max
480,Decile 8,496,0.2877066532258064,1214.286760752688,9.433333333333334,7859.283333333333,0.015201944148930361,0.05460685483870968,24.493951612903224,225839.51558299983,371604.6787160001
480,Decile 9,496,0.2900262096774193,895.7651881720429,9.416666666666666,2354.3500000000004,0.024100090072049878,0.0897953629032258,26.068548387096776,371972.8935900005,728266.996192
480,Decile 10 (highest),496,0.27498790322580646,558.0293346774193,9.4,19.83333333333333,0.017340643180082466,0.06385584677419355,26.574596774193548,728990.9041820004,172972056.63332495
540,Decile 1 (lowest),477,0.4264098532494759,164.20723270440251,9.266666666666667,9.566666666666666,0.010501853838405278,0.03826310272536688,20.656184486373167,88436.76449999989,97901.84662799984
540,Decile 2,476,0.4262489495798319,270.40931372549016,9.3,9.583333333333334,0.006115063509463854,0.021877100840336137,20.418067226890756,97951.1842529999,107553.58208099988
540,Decile 3,477,0.42374528301886794,331.5164919636618,9.316666666666666,9.590000000000002,0.008912968523572333,0.032242138364779876,20.61425576519916,107561.67896599988,119011.94992199968
540,Decile 4,476,0.4154149159663866,511.8442577030812,9.316666666666666,9.6,0.004731055501784579,0.01759558823529412,20.502100840336134,119019.94076400014,133435.67547899994
540,Decile 5,477,0.41580083857442346,369.2142557651992,9.333333333333334,9.616666666666667,0.006311944410047978,0.02379035639412998,20.71698113207547,133474.2413429998,152639.3325530003
540,Decile 6,476,0.4047426470588235,506.99957983193275,9.333333333333334,9.616666666666667,0.0058689132679472485,0.022191176470588235,21.258403361344538,152770.93363999974,181389.9627229999
540,Decile 7,476,0.34762184873949575,909.8829831932773,9.358333333333334,5479.158333333333,0.011099141850345783,0.03957247899159664,23.218487394957982,181446.8560759996,232818.16084500027
540,Decile 8,477,0.27677358490566034,1262.1309573724668,9.35,7839.256666666668,0.015699860052966662,0.05608385744234801,25.0251572327044,232825.137071,386848.8922920003
540,Decile 9,476,0.2924737394957983,861.7315826330532,9.35,1829.3249999999998,0.025267521330862408,0.09397478991596639,26.15546218487395,387230.5966719997,757753.7393700011
540,Decile 10 (highest),477,0.27322955974842766,555.1135220125786,9.316666666666666,9.623333333333335,0.016464390036605433,0.06116142557651992,26.61635220125786,758169.9312949987,172972056.63332495
600,Decile 1 (lowest),458,0.4237816593886463,169.5415938864629,9.283333333333331,9.566666666666666,0.010890749833155872,0.039675764192139744,20.895196506550217,88436.76449999989,97819.92214999984
600,Decile 2,457,0.42481509846827137,261.59704595185997,9.316666666666666,9.573333333333334,0.006396258366276347,0.02291794310722101,20.919037199124727,97827.72095399996,107506.71760099976
600,Decile 3,457,0.41802735229759297,380.3570386579139,9.316666666666666,19.166666666666668,0.009131741401455815,0.03323741794310722,21.26477024070022,107552.94388200004,119144.92526099984
600,Decile 4,458,0.4120251091703057,527.1158296943231,9.316666666666666,19.155,0.005243603933517655,0.019395196506550222,21.20305676855895,119189.6457569999,134506.64061399992
600,Decile 5,457,0.4140010940919037,400.92895696571844,9.35,19.166666666666668,0.005856629831838134,0.022323851203501093,21.2253829321663,134536.9539350002,153986.34548600003
600,Decile 6,457,0.3928894967177243,539.1824945295405,9.333333333333334,19.2,0.006848979007347582,0.02630525164113786,22.03063457330416,153993.656454,184741.3646479996
600,Decile 7,458,0.32925545851528387,989.6657933042213,9.366666666666667,6708.286666666669,0.012383788099805832,0.045102620087336245,23.958515283842793,184834.75263000003,240065.83791799948
